CountyName,RegionName,City,Metro
Santa Clara,95020,Gilroy,San Jose
Santa Clara,95030,Los Gatos,San Jose
Santa Clara,95032,Los Gatos,San Jose
Santa Clara,95033,Lexington Hills,San Jose
Santa Clara,95035,Milpitas,San Jose
Santa Clara,95037,Morgan Hill,San Jose
Santa Clara,95046,San Martin,San Jose
Santa Clara,95050,Santa Clara,San Jose
Santa Clara,95051,Santa Clara,San Jose
Santa Clara,95054,Santa Clara,San Jose
Santa Clara,95070,Saratoga,San Jose
Santa Clara,95110,San Jose,San Jose
Santa Clara,95111,San Jose,San Jose
Santa Clara,95112,San Jose,San Jose
Santa Clara,95116,San Jose,San Jose
Santa Clara,95117,San Jose,San Jose
Santa Clara,95118,San Jose,San Jose
Santa Clara,95119,San Jose,San Jose
Santa Clara,95120,San Jose,San Jose
Santa Clara,95121,San Jose,San Jose
Santa Clara,95122,San Jose,San Jose
Santa Clara,95123,San Jose,San Jose
Santa Clara,95124,San Jose,San Jose
Santa Clara,95125,San Jose,San Jose
Santa Clara,95126,San Jose,San Jose
Santa Clara,95127,San Jose,San Jose
Santa Clara,95128,San Jose,San Jose
Santa Clara,95129,San Jose,San Jose
Santa Clara,95130,San Jose,San Jose
Santa Clara,95131,San Jose,San Jose
Santa Clara,95132,San Jose,San Jose
Santa Clara,95133,San Jose,San Jose
Santa Clara,95134,San Jose,San Jose
Santa Clara,95135,San Jose,San Jose
Santa Clara,95136,San Jose,San Jose
Santa Clara,95138,San Jose,San Jose
Santa Clara,95139,San Jose,San Jose
Santa Clara,95148,San Jose,San Jose
Solano,94510,Benicia,Vallejo
Solano,94533,Fairfield,Vallejo
Solano,94534,Fairfield,Vallejo
Solano,94571,Rio Vista,Vallejo
Solano,94585,Suisun City,Vallejo
Solano,94589,Vallejo,Vallejo
Solano,94590,Vallejo,Vallejo
Solano,94591,Vallejo,Vallejo
Solano,95620,Dixon,Vallejo
Solano,95687,Vacaville,Vallejo
Solano,95688,Vacaville,Vallejo
Sonoma,94923,Bodega Bay,Santa Rosa
Sonoma,94928,Rohnert Park,Santa Rosa
Sonoma,94931,Cotati,Santa Rosa
Sonoma,94951,Penngrove,Santa Rosa
Sonoma,94952,Petaluma,Santa Rosa
Sonoma,94954,Petaluma,Santa Rosa
Sonoma,95401,Santa Rosa,Santa Rosa
Sonoma,95403,Santa Rosa,Santa Rosa
Sonoma,95404,Santa Rosa,Santa Rosa
Sonoma,95405,Santa Rosa,Santa Rosa
Sonoma,95407,Santa Rosa,Santa Rosa
Sonoma,95409,Santa Rosa,Santa Rosa
Sonoma,95421,Cazadero,Santa Rosa
Sonoma,95425,Cloverdale,Santa Rosa
Sonoma,95436,Forestville,Santa Rosa
Sonoma,95441,Geyserville,Santa Rosa
Sonoma,95442,Glen Ellen,Santa Rosa
Sonoma,95446,Guerneville,Santa Rosa
Sonoma,95448,Healdsburg,Santa Rosa
Sonoma,95452,Kenwood,Santa Rosa
Sonoma,95462,Monte Rio,Santa Rosa
Sonoma,95465,Occidental,Santa Rosa
Sonoma,95472,Sebastopol,Santa Rosa
Sonoma,95476,Sonoma,Santa Rosa
Sonoma,95492,Windsor,Santa Rosa
Sonoma,95497,Annapolis,Santa Rosa
